Gender,Provinsi,Kab/Kota,Bidang,Jenjang Lomba,Jenjang Sekolah,Kelas,Medali,Tahun,Cluster
L,Jawa Timur,Kab. Lamongan,Matematika,SMA,SMA,11.0,Partisipan,2016,1
L,Jawa Timur,Kab. Lamongan,Fisika,SMA,SMA,11.0,Partisipan,2016,1
L,Jawa Timur,Kab. Lamongan,Kimia,SMA,SMA,11.0,Partisipan,2010,1
P,Riau,Kab. Kampar,Fisika,SMA,SMA,11.0,Partisipan,2024,1
P,Jawa Timur,Kab. Lamongan,Biologi,SMA,SMA,11.0,Partisipan,2022,1
L,Jawa Timur,Kab. Lamongan,Biologi,SMA,SMA,11.0,Partisipan,2024,1
L,Jawa Timur,Kab. Lumajang,Kimia,SMA,SMA,11.0,Partisipan,2019,1
P,Jawa Timur,Kab. Lumajang,Biologi,SMA,SMA,11.0,Partisipan,2018,1
L,Jawa Timur,Kab. Lumajang,Kimia,SMA,SMA,11.0,Partisipan,2017,1
L,Jawa Timur,Kab. Lumajang,Fisika,SMA,SMA,11.0,Partisipan,2016,1
L,DI Yogyakarta,Kota Yogyakarta,Matematika,SMA,SMA,11.0,Partisipan,2021,2
L,Jawa Timur,Kab. Lumajang,Matematika,SMA,SMA,10.0,Partisipan,2014,1
L,Jawa Timur,Kab. Lumajang,Fisika,SMA,SMA,11.0,Partisipan,2011,1
L,Jawa Timur,Kab. Lumajang,Kimia,SMA,SMA,10.0,Partisipan,2024,1
L,Jawa Timur,Kab. Lumajang,Biologi,SMA,SMA,10.0,Partisipan,2024,1
L,Jawa Timur,Kab. Lumajang,Kimia,SMA,SMA,11.0,Partisipan,2009,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2020,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2018,0
L,Jawa Timur,Kota Madiun,Informatika,SMA,SMA,11.0,Partisipan,2016,2
L,Jawa Timur,Kota Madiun,Ekonomi,SMA,SMA,11.0,Partisipan,2016,2
L,Jawa Timur,Kota Madiun,Ekonomi,SMA,SMA,11.0,Partisipan,2015,2
L,Jawa Timur,Kota Madiun,Matematika,SMA,SMA,11.0,Partisipan,2014,2
L,Jawa Timur,Kota Madiun,Ekonomi,SMA,SMA,10.0,Partisipan,2014,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2012,0
L,Jawa Timur,Kota Madiun,Biologi,SMA,SMA,11.0,Partisipan,2010,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2024,0
P,Jawa Timur,Kota Mojokerto,Ekonomi,SMA,SMA,11.0,Partisipan,2022,2
L,Jawa Timur,Kab. Nganjuk,Kimia,SMA,SMA,11.0,Partisipan,2010,0
P,Kalimantan Utara,Kota Tarakan,IPA,SMP,SMP,11.0,Partisipan,2021,2
P,Kalimantan Barat,Kota Pontianak,Astronomi,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Barat,Kota Pontianak,Astronomi,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
P,Kalimantan Barat,Kota Pontianak,Biologi,SMA,SMA,10.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Utara,Kota Tarakan,Informatika,SMA,SMA,11.0,Partisipan,2015,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2018,0
L,Kalimantan Barat,Kab. Landak,Geografi,SMA,SMA,10.0,Partisipan,2022,1
L,Kalimantan Barat,Kota Pontianak,Informatika,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Barat,Kota Pontianak,Informatika,SMA,SMA,10.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,DI Yogyakarta,Kota Yogyakarta,Kebumian,SMA,SMA,11.0,Partisipan,2020,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2022,0
P,Kalimantan Barat,Kota Pontianak,Kimia,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,9.0,Partisipan,2022,0
P,Kalimantan Barat,Kota Pontianak,Matematika,SMA,SMA,10.0,Partisipan,2022,2
P,Kalimantan Selatan,Kab. Banjar,Kimia,SMA,SMA,10.0,Partisipan,2015,1
L,Kalimantan Timur,Kota Bontang,Ekonomi,SMA,SMA,11.0,Partisipan,2011,2
L,Kalimantan Selatan,Kab. Banjar,Informatika,SMA,SMA,11.0,Partisipan,2015,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2015,0
P,Kalimantan Selatan,Kab. Banjar,Astronomi,SMA,SMA,11.0,Partisipan,2015,1
P,Kalimantan Selatan,Kab. Banjar,Astronomi,SMA,SMA,10.0,Partisipan,2015,1
L,Jambi,Kab. Muaro Jambi,Matematika,SMA,SMA,11.0,Partisipan,2012,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2020,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2010,0
L,Sulawesi Selatan,Kab. Gowa,Fisika,SMA,SMA,11.0,Partisipan,2011,1
P,Kalimantan Selatan,Kab. Banjar,Ekonomi,SMA,SMA,11.0,Partisipan,2015,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2014,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2024,0
P,Kalimantan Selatan,Kab. Banjar,Kimia,SMA,SMA,11.0,Partisipan,2014,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2010,0
L,Kalimantan Tengah,Kota Palangkaraya,Kimia,SMA,SMA,11.0,Partisipan,2009,2
L,Kalimantan Tengah,Kota Palangkaraya,Ekonomi,SMA,SMA,11.0,Partisipan,2023,2
L,Kalimantan Tengah,Kota Palangkaraya,Kimia,SMA,SMA,11.0,Partisipan,2017,2
P,Kalimantan Tengah,Kota Palangkaraya,Matematika,SMA,SMA,11.0,Partisipan,2024,2
P,Kalimantan Tengah,Kota Palangkaraya,Fisika,SMA,SMA,11.0,Partisipan,2024,2
L,Kalimantan Tengah,Kota Palangkaraya,Ekonomi,SMA,SMA,10.0,Partisipan,2024,2
P,Kalimantan Tengah,Kab. Kotawaringin Timur,Geografi,SMA,SMA,11.0,Partisipan,2021,1
L,Kalimantan Tengah,Kab. Kotawaringin Timur,Informatika,SMA,SMA,10.0,Partisipan,2020,1
P,Kalimantan Timur,Kab. Kutai Timur,Astronomi,SMA,SMA,11.0,Partisipan,2022,1
P,Kalimantan Timur,Kota Balikpapan,Astronomi,SMA,SMA,10.0,Partisipan,2022,2
L,Kalimantan Timur,Kota Samarinda,Biologi,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
P,Kalimantan Timur,Kota Samarinda,Ekonomi,SMA,SMA,10.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
P,Kalimantan Timur,Kab. Berau,Geografi,SMA,SMA,11.0,Partisipan,2022,1
L,Kalimantan Timur,Kota Balikpapan,Informatika,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kota Balikpapan,Kebumian,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kota Samarinda,Kebumian,SMA,SMA,11.0,Partisipan,2022,2
P,Kalimantan Timur,Kota Balikpapan,Kimia,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kota Samarinda,Matematika,SMA,SMA,11.0,Partisipan,2022,2
P,Kalimantan Utara,Kota Tarakan,Astronomi,SMA,SMA,11.0,Partisipan,2022,2
P,Kalimantan Utara,Kab. Malinau,Biologi,SMA,SMA,10.0,Partisipan,2022,0
L,Kalimantan Utara,Kab. Nunukan,Ekonomi,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Utara,Kab. Malinau,Fisika,SMA,SMA,10.0,Partisipan,2022,0
P,Kalimantan Utara,Kab. Nunukan,Geografi,SMA,SMA,11.0,Partisipan,2022,0
P,Kalimantan Utara,Kab. Nunukan,Informatika,SMA,SMA,10.0,Partisipan,2022,0
L,Kalimantan Utara,Kota Tarakan,Kebumian,SMA,SMA,11.0,Partisipan,2022,2
P,Kalimantan Utara,Kab. Nunukan,Kimia,SMA,SMA,11.0,Partisipan,2022,0
P,Sulawesi Utara,Kota Manado,Ekonomi,SMA,SMA,11.0,Partisipan,2015,2
L,Bangka Belitung,Kab. Bangka,Informatika,SMA,SMA,11.0,Partisipan,2014,1
L,Bangka Belitung,Kab. Bangka Barat,Astronomi,SMA,SMA,10.0,Partisipan,2018,1
L,Bangka Belitung,Kab. Bangka,Kebumian,SMA,SMA,11.0,Partisipan,2016,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,10.0,Partisipan,2022,0
L,Bangka Belitung,Kab. Bangka,Fisika,SMA,SMA,11.0,Partisipan,2013,1
P,Bangka Belitung,Kab. Bangka,Fisika,SMA,SMA,11.0,Partisipan,2023,1
P,Bangka Belitung,Kab. Bangka,Biologi,SMA,SMA,11.0,Partisipan,2014,1
L,Bangka Belitung,Kab. Bangka,Matematika,SMA,SMA,11.0,Partisipan,2010,1
P,Bangka Belitung,Kab. Bangka,Kimia,SMA,SMA,11.0,Partisipan,2009,1
P,Bangka Belitung,Kab. Bangka,Ekonomi,SMA,SMA,11.0,Partisipan,2023,1
L,Kepulauan Riau,Kota Batam,Astronomi,SMA,SMA,11.0,Partisipan,2022,2
L,Kepulauan Riau,Kota Batam,Astronomi,SMA,SMA,11.0,Partisipan,2022,2
L,Kepulauan Riau,Kota Batam,Astronomi,SMA,SMA,11.0,Partisipan,2022,2
L,Kepulauan Riau,Kota Tanjungpinang,Biologi,SMA,SMA,11.0,Partisipan,2022,2
P,Kepulauan Riau,Kota Batam,Biologi,SMA,SMA,11.0,Partisipan,2022,2
P,Kepulauan Riau,Kota Batam,Biologi,SMA,SMA,11.0,Partisipan,2022,2
P,Kepulauan Riau,Kota Batam,Ekonomi,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2016,0
L,Sumatera Selatan,Kota Palembang,Matematika,SMA,SMA,11.0,Partisipan,2009,2
L,Kepulauan Riau,Kota Batam,Informatika,SMA,SMA,10.0,Partisipan,2022,2
L,Kepulauan Riau,Kota Batam,Kebumian,SMA,SMA,11.0,Partisipan,2022,2
P,Kepulauan Riau,Kota Batam,Kebumian,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,9.0,Partisipan,2022,0
L,Aceh,Kab. Aceh Besar,Kebumian,SMA,SMA,11.0,Partisipan,2010,1
L,DKI Jakarta,Kota Jakarta Selatan,Biologi,SMA,SMA,10.0,Partisipan,2024,2
L,Kepulauan Riau,Kota Batam,Matematika,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Lampung,Kota Bandar Lampung,Astronomi,SMA,SMA,11.0,Partisipan,2022,2
L,Lampung,Kota Bandar Lampung,Biologi,SMA,SMA,10.0,Partisipan,2022,2
P,Lampung,Kota Metro,Ekonomi,SMA,SMA,11.0,Partisipan,2022,2
P,Lampung,Kota Metro,Ekonomi,SMA,SMA,11.0,Partisipan,2022,2
L,Lampung,Kota Bandar Lampung,Ekonomi,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,9.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
P,Lampung,Kota Bandar Lampung,Fisika,SMA,SMA,10.0,Partisipan,2022,2
L,Lampung,Kab. Pringsewu,Geografi,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Tengah,Kab. Kotawaringin Timur,Geografi,SMA,SMA,11.0,Partisipan,2019,1
P,Lampung,Kota Bandar Lampung,Geografi,SMA,SMA,11.0,Partisipan,2022,2
L,Lampung,Kota Metro,Geografi,SMA,SMA,11.0,Partisipan,2022,2
P,Lampung,Kota Bandar Lampung,Geografi,SMA,SMA,11.0,Partisipan,2022,2
L,Lampung,Kota Bandar Lampung,Informatika,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
L,Lampung,Kota Bandar Lampung,Kebumian,SMA,SMA,10.0,Partisipan,2022,2
L,Lampung,Kab. Lampung Timur,Kebumian,SMA,SMA,11.0,Partisipan,2022,1
P,Lampung,Kota Bandar Lampung,Kebumian,SMA,SMA,10.0,Partisipan,2022,2
P,Lampung,Kota Bandar Lampung,Kimia,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2024,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2022,0
P,Lampung,Kota Bandar Lampung,Matematika,SMA,SMP,9.0,Partisipan,2022,2
L,Gorontalo,Kab. Bone Bolango,Fisika,SMA,SMA,11.0,Partisipan,2024,1
L,Maluku Utara,Kab. Halmahera Timur,Astronomi,SMA,SMA,11.0,Partisipan,2022,1
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,8.0,Partisipan,2022,0
L,Maluku Utara,Kota Ternate,Ekonomi,SMA,SMA,10.0,Partisipan,2022,2
P,Maluku Utara,Kab. Kepulauan Sula,Fisika,SMA,SMA,11.0,Partisipan,2022,1
L,Maluku Utara,Kota Ternate,Geografi,SMA,SMA,10.0,Partisipan,2022,2
L,Maluku Utara,Kab. Halmahera Utara,Informatika,SMA,SMA,11.0,Partisipan,2022,1
P,Maluku Utara,Kota Tidore Kepulauan,Kebumian,SMA,SMA,10.0,Partisipan,2022,2
P,Maluku Utara,Kota Ternate,Kimia,SMA,SMA,10.0,Partisipan,2022,2
P,Maluku Utara,Kab. Halmahera Barat,Matematika,SMA,SMA,10.0,Partisipan,2022,1
P,Maluku,Kota Tual,Astronomi,SMA,SMA,11.0,Partisipan,2022,2
P,Maluku,Kab. Maluku Tenggara,Biologi,SMA,SMA,11.0,Partisipan,2022,0
P,Maluku,Kota Tual,Ekonomi,SMA,SMA,10.0,Partisipan,2022,2
P,Sumatera Utara,Kab. Padang Lawas Utara,Ekonomi,SMA,SMA,11.0,Partisipan,2010,0
L,Maluku,Kota Ambon,Geografi,SMA,SMA,11.0,Partisipan,2022,2
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2010,0
P,Maluku,Kota Ambon,Kebumian,SMA,SMA,10.0,Partisipan,2022,2
L,Maluku,Kota Ambon,Kimia,SMA,SMA,11.0,Partisipan,2022,2
L,Maluku,Kota Ambon,Matematika,SMA,SMA,10.0,Partisipan,2022,2
L,Nusa Tenggara Barat,Kab. Sumbawa,Fisika,SMA,SMA,11.0,Partisipan,2010,0
L,Nusa Tenggara Barat,Kab. Sumbawa,Kimia,SMA,SMA,11.0,Partisipan,2010,0
P,Nusa Tenggara Barat,Kab. Sumbawa,Biologi,SMA,SMA,11.0,Partisipan,2010,0
L,Nusa Tenggara Barat,Kab. Sumbawa,Astronomi,SMA,SMA,11.0,Partisipan,2013,0
L,Nusa Tenggara Barat,Kab. Sumbawa,Informatika,SMA,SMA,11.0,Partisipan,2018,0
P,Nusa Tenggara Barat,Kab. Sumbawa,Kebumian,SMA,SMA,11.0,Partisipan,2018,0
L,Nusa Tenggara Barat,Kab. Sumbawa,Kimia,SMA,SMA,11.0,Partisipan,2016,0
L,Nusa Tenggara Barat,Kab. Sumbawa,Astronomi,SMA,SMA,11.0,Partisipan,2016,0
L,Jawa Timur,Kab. Nganjuk,Geografi,SMA,SMA,11.0,Partisipan,2021,0
P,Bangka Belitung,Kab. Bangka,Kimia,SMA,SMA,11.0,Partisipan,2016,1
P,Nusa Tenggara Barat,Kab. Sumbawa,Ekonomi,SMA,SMA,11.0,Partisipan,2016,0
P,Nusa Tenggara Barat,Kab. Sumbawa,Kebumian,SMA,SMA,11.0,Partisipan,2016,0
L,Nusa Tenggara Barat,Kab. Sumbawa,Kimia,SMA,SMA,10.0,Partisipan,2015,0
L,Nusa Tenggara Barat,Kab. Sumbawa,Astronomi,SMA,SMA,11.0,Partisipan,2014,0
L,Kalimantan Timur,Kab. Soppeng,IPA,SMA,SMA,11.0,Partisipan,2011,0
P,Nusa Tenggara Timur,Kab. Ngada,Biologi,SMA,SMA,11.0,Partisipan,2022,0
L,Nusa Tenggara Timur,Kota Kupang,Ekonomi,SMA,SMA,11.0,Partisipan,2022,2
P,Nusa Tenggara Timur,Kab. Manggarai Barat,Fisika,SMA,SMA,11.0,Partisipan,2022,0
L,Nusa Tenggara Timur,Kota Kupang,Geografi,SMA,SMA,11.0,Partisipan,2022,2
